FIFA Version Name,Name,Position,Age,Overall rating,Potential,Team,Contract Dates,Height,Weight,Foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Pacing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Nationality,Player Specialities,Club League Name,Club Position,Club Kit Number,Contract Valid Until,National Team Position,National Team Kit Number,Player Image URL,Profile URL
FC 24,E. Haaland,ST,22,91,94,Manchester City,2022 ~ 2027,"195cm / 6'5""",94kg / 207lbs,Left,93,ST,1-Jul-22,€185M,€340K,€356.1M,393,47,96,83,77,90,363,79,77,62,63,82,420,82,94,78,94,72,442,94,93,76,93,86,386,87,43,96,74,86,87,114,38,47,29,52,7,14,13,11,7,2170,464,3,3,High,High,5,Unique,Yes,89,93,68,81,45,88,Norway,"Aerial threat, Distance shooter, Strength, Clinical finisher, Complete forward",Premier League,ST,9,2027,ST,9,https://cdn.sofifa.net/players/239/085/24_120.png,https://sofifa.com/player/239085/erling-haaland/240050/
FC 24,K. Mbappé,"ST, LW",24,91,94,Paris Saint-Germain,2018 ~ 2024,"182cm / 6'0""",75kg / 165lbs,Right,93,ST,1-Jul-18,€181.5M,€230K,€349.4M,415,78,94,73,86,84,405,93,80,69,71,92,462,97,97,93,93,82,426,90,88,88,77,83,362,64,38,93,83,84,88,92,26,34,32,42,13,5,7,11,6,2204,473,4,5,High,Low,5,Unique,Yes,97,90,80,92,36,78,France,"Speedster, Dribbler, Acrobat, Clinical finisher, Complete forward",Ligue 1,ST,7,2024,LW,10,https://cdn.sofifa.net/players/231/747/24_120.png,https://sofifa.com/player/231747/kylian-mbappe/240050/
FC 24,K. De Bruyne,"CM, CAM",32,91,91,Manchester City,2015 ~ 2025,"181cm / 5'11""",75kg / 165lbs,Right,91,CM,30-Aug-15,€103M,€350K,€190.6M,412,95,85,55,94,83,447,86,92,83,94,92,394,74,74,76,92,78,420,92,73,88,75,92,407,75,66,88,95,83,88,189,66,70,53,56,15,13,5,10,13,2325,486,5,4,High,Medium,5,Unique,Yes,74,88,94,87,65,78,Belgium,"Dribbler, Playmaker, Distance shooter, Crosser, Complete midfielder",Premier League,CAM,17,2025,CAM,7,https://cdn.sofifa.net/players/192/985/24_120.png,https://sofifa.com/player/192985/kevin-de-bruyne/240050/
FC 24,Rodri,"CDM, CM",27,90,92,Manchester City,2019 ~ 2027,"191cm / 6'3""",82kg / 181lbs,Right,90,CDM,4-Jul-19,€129.5M,€260K,€249.3M,386,71,74,81,92,68,410,84,83,63,90,90,356,63,65,68,93,67,435,92,83,89,83,88,391,85,84,76,84,62,90,257,92,87,78,49,10,10,7,14,8,2284,483,4,3,High,High,4,Normal (185+),Yes,64,80,84,84,86,85,Spain,"Engine, Distance shooter",Premier League,RCM,16,2027,CDM,16,https://cdn.sofifa.net/players/231/866/24_120.png,https://sofifa.com/player/231866/rodrigo-hernandez-cascante/240050/
FC 24,H. Kane,ST,29,90,90,FC Bayern München,2023 ~ 2027,"188cm / 6'2""",85kg / 187lbs,Right,90,ST,12-Aug-23,€119.5M,€170K,€197.2M,440,80,95,89,87,89,404,82,82,65,88,87,369,67,70,66,93,73,433,93,87,81,85,87,395,80,42,94,87,92,92,130,46,46,38,54,8,10,11,14,11,2225,461,5,3,High,High,5,Unique,Yes,69,93,84,83,49,83,England,"Distance shooter, Clinical finisher",Bundesliga,ST,9,2027,ST,9,https://cdn.sofifa.net/players/202/126/24_120.png,https://sofifa.com/player/202126/harry-kane/240050/
FC 24,T. Courtois,GK,31,90,90,Real Madrid,2018 ~ 2026,"200cm / 6'7""",96kg / 212lbs,Left,90,GK,9-Aug-18,€63M,€250K,€129.2M,86,14,14,13,33,12,110,13,19,20,35,23,290,42,52,63,88,45,250,57,68,38,70,17,122,23,15,13,44,27,66,54,20,18,16,433,85,89,76,90,93,1345,479,3,1,Medium,Medium,5,Unique,Yes,85,89,76,93,46,90,Belgium,Unknown,La Liga,GK,1,2026,GK,1,https://cdn.sofifa.net/players/192/119/24_120.png,https://sofifa.com/player/192119/thibaut-courtois/240050/
FC 24,R. Lewandowski,ST,34,90,90,FC Barcelona,2022 ~ 2026,"185cm / 6'1""",81kg / 179lbs,Right,90,ST,18-Jul-22,€58M,€340K,€118.9M,433,76,93,91,84,89,410,86,79,85,70,90,404,76,75,77,93,83,432,91,92,76,89,84,395,81,49,94,81,90,88,96,35,42,19,51,15,6,12,8,10,2221,461,4,4,High,Medium,5,Unique,Yes,75,91,80,87,44,84,Poland,"Aerial threat, Dribbler, Distance shooter, Clinical finisher, Complete forward",La Liga,ST,9,2026,RS,9,https://cdn.sofifa.net/players/188/545/24_120.png,https://sofifa.com/player/188545/robert-lewandowski/240050/
FC 24,L. Messi,"CF, CAM",36,90,90,Inter Miami,2023 ~ 2025,"169cm / 5'7""",67kg / 148lbs,Left,91,CAM,16-Jul-23,€41M,€23K,€57.4M,409,83,89,60,91,86,465,96,93,93,90,93,435,87,74,91,88,95,382,83,71,70,68,90,342,44,40,91,92,75,96,79,20,35,24,54,6,11,15,14,8,2166,448,4,4,Low,Low,5,Unique,Yes,80,87,90,94,33,64,Argentina,"Dribbler, Playmaker, FK Specialist, Acrobat, Clinical finisher, Complete midfielder, Complete forward",Major League Soccer,RW,10,2025,RW,10,https://cdn.sofifa.net/players/158/023/24_120.png,https://sofifa.com/player/158023/lionel-messi/240050/
FC 24,Rúben Dias,CB,26,89,90,Manchester City,2020 ~ 2027,"187cm / 6'2""",82kg / 181lbs,Right,89,CB,29-Sep-20,€106.5M,€250K,€205M,285,54,29,87,83,32,309,64,46,48,76,75,328,54,69,60,89,56,352,74,84,78,90,26,314,93,86,39,51,45,81,269,91,91,87,47,7,8,13,7,12,1904,412,4,2,Medium,High,4,Normal (185+),Yes,62,39,66,69,89,87,Portugal,"Tackling, Tactician, Strength, Complete defender",Premier League,RCB,3,2027,RCB,4,https://cdn.sofifa.net/players/239/818/24_120.png,https://sofifa.com/player/239818/ruben-santos-gato-alves-dias/240050/
FC 24,Vini Jr.,"LW, ST",22,89,94,Real Madrid,2018 ~ 2027,"176cm / 5'9""",73kg / 161lbs,Right,90,CAM,12-Jul-18,€158.5M,€310K,€336.8M,373,79,89,50,82,73,400,92,79,62,77,90,454,95,95,94,86,84,380,77,74,84,65,80,325,58,26,87,83,71,83,75,32,25,18,36,5,7,7,7,10,2043,446,4,5,High,Medium,5,Lean (170-185),Yes,95,83,80,90,29,69,Brazil,"Speedster, Dribbler, Acrobat, Clinical finisher, Complete forward",La Liga,LS,7,2027,Unknown,Unknown,https://cdn.sofifa.net/players/238/794/24_120.png,https://sofifa.com/player/238794/vinicius-jose-de-oliveira-junior/240050/
FC 24,Alisson,GK,30,89,89,Liverpool,2018 ~ 2027,"193cm / 6'4""",91kg / 201lbs,Right,89,GK,19-Jul-18,€68.5M,€180K,€126.7M,139,17,13,29,60,20,164,27,19,18,58,42,273,60,49,40,87,37,270,64,82,32,78,14,140,27,11,13,66,23,66,50,15,19,16,435,86,85,85,90,89,1471,491,3,1,Medium,Medium,5,Unique,Yes,86,85,85,89,56,90,Brazil,Unknown,Premier League,GK,1,2027,Unknown,Unknown,https://cdn.sofifa.net/players/212/831/24_120.png,https://sofifa.com/player/212831/alisson-ramses-becker/240050/
FC 24,M. Salah,RW,31,89,89,Liverpool,2017 ~ 2025,"175cm / 5'9""",72kg / 159lbs,Left,89,RW,1-Jul-17,€85.5M,€260K,€158.2M,399,80,92,59,85,83,404,88,84,69,77,86,451,89,89,89,93,91,411,82,81,87,77,84,376,63,55,92,85,81,90,122,38,43,41,62,14,14,9,11,14,2225,468,3,4,High,Medium,5,Unique,Yes,89,87,82,88,45,77,Egypt,"Dribbler, Acrobat, Clinical finisher, Complete forward",Premier League,RW,11,2025,Unknown,Unknown,https://cdn.sofifa.net/players/209/331/24_120.png,https://sofifa.com/player/209331/mohamed-salah/240050/
FC 24,V. van Dijk,CB,31,89,89,Liverpool,2018 ~ 2025,"193cm / 6'4""",92kg / 203lbs,Right,89,CB,1-Jan-18,€70.5M,€220K,€130.4M,317,53,52,87,80,45,363,70,60,70,86,77,350,66,87,59,88,50,399,81,89,72,93,64,349,85,88,47,67,62,89,267,90,91,86,58,13,10,13,11,11,2103,456,3,2,Medium,High,4,Unique,Yes,78,60,71,72,89,86,Netherlands,"Tackling, Tactician, Strength, Complete defender",Premier League,LCB,4,2025,CB,4,https://cdn.sofifa.net/players/203/376/24_120.png,https://sofifa.com/player/203376/virgil-van-dijk/240050/
FC 24,M. ter Stegen,GK,31,89,89,FC Barcelona,2014 ~ 2028,"187cm / 6'2""",85kg / 187lbs,Right,89,GK,1-Jul-14,€54.5M,€220K,€111.7M,118,18,14,11,61,14,144,21,18,12,63,30,262,45,50,39,85,43,262,67,72,35,78,10,171,43,22,11,70,25,70,48,25,13,10,437,86,85,89,86,91,1442,484,4,1,Medium,Medium,5,Unique,Yes,86,85,89,91,47,86,Germany,Unknown,La Liga,GK,1,2028,GK,1,https://cdn.sofifa.net/players/192/448/24_120.png,https://sofifa.com/player/192448/marc-andre-ter-stegen/240050/
FC 24,J. Bellingham,"CAM, CM",20,88,92,Real Madrid,2023 ~ 2029,"186cm / 6'1""",75kg / 165lbs,Right,90,CAM,1-Jul-23,€128.5M,€230K,€273.1M,385,66,87,69,89,74,391,88,73,56,87,87,411,81,80,82,89,79,411,79,82,93,77,80,416,85,82,88,87,74,87,233,77,79,77,48,14,11,10,5,8,2295,492,4,4,High,High,4,Normal (185+),Yes,80,83,81,87,78,83,England,"Dribbler, Playmaker, Engine, Clinical finisher, Complete midfielder, Complete forward",La Liga,CAM,5,2029,CAM,10,https://cdn.sofifa.net/players/252/371/24_120.png,https://sofifa.com/player/252371/jude-bellingham/240050/
FC 24,F. Valverde,"CM, RM",24,88,91,Real Madrid,2016 ~ 2029,"182cm / 6'0""",78kg / 172lbs,Right,90,CM,22-Jul-16,€124M,€270K,€263.5M,380,78,78,63,87,74,402,83,74,69,88,88,409,84,91,77,89,68,432,91,82,92,80,87,395,81,83,86,86,59,84,244,79,85,80,45,6,10,6,15,8,2307,501,4,3,High,High,3,Unique,Yes,88,82,84,84,80,83,Uruguay,"Playmaker, Engine, Distance shooter, Complete midfielder",La Liga,RCM,15,2029,Unknown,Unknown,https://cdn.sofifa.net/players/239/053/24_120.png,https://sofifa.com/player/239053/federico-valverde/240050/
FC 24,L. Martínez,ST,25,88,90,Inter,2018 ~ 2026,"174cm / 5'9""",72kg / 159lbs,Right,89,ST,5-Jul-18,€116M,€180K,€200.1M,403,60,91,86,75,91,378,85,78,54,73,88,427,83,77,88,90,89,420,85,93,80,84,78,378,90,45,91,78,74,88,130,55,31,44,48,11,8,8,8,13,2184,457,4,4,High,Medium,3,Unique,Yes,80,86,71,87,48,85,Argentina,Acrobat,Serie A,LS,10,2026,SUB,22,https://cdn.sofifa.net/players/231/478/24_120.png,https://sofifa.com/player/231478/lautaro-martinez/240050/
