FIFA Version Name,Name,Position,Age,Overall rating,Potential,Team,Contract Dates,Height,Weight,Foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Pacing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positionings,Nationality,Player Specialities,Club League Name,Club Position,Club Kit Number,Contract Valid Until,National Team Position,National Team Kit Number,Player Image URL,Profile URL
FIFA 13,L. Messi,"CF, ST, RW",25,94,97,FC Barcelona,2004 ~ 2016,"169cm / 5'7""",67kg / 148lbs,Left,92,CAM,1-Jul-04,€107.5M,€300K,€ 0,431,84,97,72,89,89,442,97,87,86,76,96,471,95,91,94,96,95,386,80,73,80,65,88,331,48,22,93,90,78,0,54,13,21,20,54,6,11,15,14,8,2169,455,3,4,High,Medium,5,Normal (170-),Yes,93,90,86,96,24,66,Argentina,"Speedster, Dribbler, FK Specialist, Acrobat, Clinical finisher, Complete forward",La Liga,CF,10,2016,RW,10,https://cdn.sofifa.net/players/158/023/13_120.png,https://sofifa.com/player/158023/lionel-messi/130034/
FIFA 13,Cristiano Ronaldo,"LW, LM, ST, RM",27,92,95,Real Madrid,2009 ~ 2015,"186cm / 6'1""",84kg / 185lbs,Right,90,ST,1-Jul-09,€80.5M,€250K,€ 0,428,83,92,86,82,85,424,90,88,79,72,95,443,91,94,93,90,75,449,94,94,89,79,93,342,63,24,89,81,85,0,76,22,31,23,58,7,11,15,14,11,2220,468,4,5,High,Low,5,Normal (185+),Yes,93,92,81,91,32,79,Portugal,"Speedster, Dribbler, Distance shooter, Acrobat, Clinical finisher, Complete forward",La Liga,LM,7,2015,LW,7,https://cdn.sofifa.net/players/020/801/13_120.png,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/130034/
FIFA 13,Falcao,ST,26,90,92,Atlético Madrid,2013 ~ 2018,"176cm / 5'9""",75kg / 165lbs,Right,88,ST,11-Jun-13,€38.5M,€180K,€ 0,407,56,94,95,69,93,371,78,83,71,54,85,409,80,78,85,90,76,406,80,93,75,79,79,349,70,41,94,55,89,0,77,16,42,19,43,10,13,6,9,5,2062,424,5,4,High,Medium,4,Normal (170-185),Yes,79,88,62,81,37,77,Colombia,Aerial threat,La Liga,RS,9,2018,LS,9,https://cdn.sofifa.net/players/167/397/13_120.png,https://sofifa.com/player/167397/radamel-falcao-garcia-zarate/130034/
FIFA 13,F. Ribéry,"LM, RM",29,90,90,FC Bayern München,2007 ~ 2017,"170cm / 5'7""",72kg / 159lbs,Right,88,RW,1-Jul-07,€26M,€170K,€ 0,383,86,78,51,88,80,427,94,87,81,73,92,456,94,91,92,87,92,337,76,53,72,64,72,349,62,36,84,87,80,0,64,13,25,26,47,15,6,9,7,10,2063,438,4,5,High,Low,5,Normal (170-),Yes,92,77,85,93,26,65,France,"Speedster, Dribbler, Crosser, Acrobat",Bundesliga,LM,7,2017,Unknown,Unknown,https://cdn.sofifa.net/players/156/616/13_120.png,https://sofifa.com/player/156616/franck-ribery/130034/
FIFA 13,Xavi,"CM, CAM",32,90,90,FC Barcelona,1998 ~ 2014,"170cm / 5'7""",68kg / 150lbs,Right,88,CAM,1-Jul-98,€18.5M,€170K,€ 0,373,85,74,51,97,66,443,83,85,87,93,95,397,67,65,82,93,90,328,67,53,72,60,76,387,53,74,88,97,75,0,178,55,62,61,46,5,15,12,5,9,2152,441,3,3,Medium,Medium,5,Normal (170-),Yes,66,73,93,87,61,61,Spain,"Playmaker, FK Specialist",La Liga,RCM,6,2014,RCM,8,https://cdn.sofifa.net/players/010/535/13_120.png,https://sofifa.com/player/10535/xavier-hernandez-creus/130034/
FIFA 13,Iniesta,"CM, LW, CAM",28,90,92,FC Barcelona,2002 ~ 2015,"170cm / 5'7""",65kg / 143lbs,Right,89,RM,1-Jul-02,€34M,€180K,€ 0,381,85,73,54,95,74,419,91,80,65,89,94,413,79,73,83,92,86,331,65,54,78,59,75,375,58,70,89,93,65,0,170,57,57,56,45,6,13,6,13,7,2134,450,4,4,High,Medium,5,Normal (170-),Yes,76,72,89,91,59,63,Spain,"Dribbler, Playmaker",La Liga,LW,8,2015,LCM,6,https://cdn.sofifa.net/players/000/041/13_120.png,https://sofifa.com/player/41/andres-iniesta-lujan/130034/
FIFA 13,Z. Ibrahimović,ST,30,89,89,Paris Saint-Germain,2012 ~ 2015,"195cm / 6'5""",95kg / 209lbs,Right,86,ST,1-Jul-12,€23M,€170K,€ 0,418,76,91,76,86,89,410,88,80,80,72,90,349,74,79,82,80,34,422,93,72,78,93,86,364,84,20,83,84,93,0,91,15,49,27,59,13,15,10,9,12,2113,453,4,5,Medium,Low,5,Normal (185+),Yes,77,90,81,85,34,86,Sweden,"Poacher, Aerial threat, Dribbler, Distance shooter, Strength, Clinical finisher, Complete forward",Ligue 1,LS,10,2015,ST,10,https://cdn.sofifa.net/players/041/236/13_120.png,https://sofifa.com/player/41236/zlatan-ibrahimovic/130034/
FIFA 13,R. van Persie,"ST, CF",28,89,89,Manchester United,2012 ~ 2016,"183cm / 6'0""",72kg / 159lbs,Left,86,ST,17-Aug-12,€26M,€170K,€ 0,423,83,91,73,85,91,414,84,86,81,75,88,380,77,76,81,87,59,380,90,59,72,72,87,350,55,34,90,82,89,0,76,23,32,21,39,9,10,5,7,8,2062,433,4,4,High,Low,5,Normal (185+),Yes,76,90,82,84,33,68,Netherlands,"Distance shooter, Clinical finisher",Premier League,ST,20,2016,ST,9,https://cdn.sofifa.net/players/007/826/13_120.png,https://sofifa.com/player/7826/robin-van-persie/130034/
FIFA 13,David Silva,"CAM, RM, LM",26,88,90,Manchester City,2010 ~ 2017,"171cm / 5'7""",67kg / 148lbs,Left,87,CAM,14-Jul-10,€30.5M,€140K,€ 0,387,81,77,58,90,81,423,87,83,77,85,91,423,83,74,93,85,88,344,77,66,68,53,80,344,51,41,84,91,77,0,82,23,30,29,57,13,9,13,9,13,2060,422,2,4,High,Low,3,Normal (170-185),Yes,78,78,87,89,33,57,Spain,"Dribbler, Playmaker, Acrobat",Premier League,CAM,21,2017,SUB,21,https://cdn.sofifa.net/players/168/542/13_120.png,https://sofifa.com/player/168542/david-josue-jimenez-silva/130034/
FIFA 13,Casillas,GK,31,88,89,Real Madrid,1999 ~ 2017,"185cm / 6'1""",84kg / 185lbs,Left,86,GK,1-Jul-99,€12.5M,€130K,€ 0,64,13,9,12,21,9,82,12,11,11,22,26,318,61,64,63,83,47,234,26,81,47,71,9,111,23,16,16,32,24,0,31,11,11,9,416,91,81,69,83,92,1256,479,2,1,Medium,Medium,4,Normal (170-185),Yes,91,81,69,92,63,83,Spain,Unknown,La Liga,GK,1,2017,GK,1,https://cdn.sofifa.net/players/005/479/13_120.png,https://sofifa.com/player/5479/iker-casillas-fernandez/130034/
