FIFA Version Name,Name,Position,Age,Overall rating,Potential,Team,Contract Dates,Height,Weight,Foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Pacing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Nationality,Player Specialities,Club League Name,Club Position,Club Kit Number,Contract Valid Until,National Team Position,National Team Kit Number,Player Image URL,Profile URL
FIFA 23,K. Mbappé,"ST, LW",23,91,95,Paris Saint-Germain,2018 ~ 2024,"182cm / 6'0""",75kg / 165lbs,Right,92,ST,1-Jul-18,€190.5M,€230K,€366.7M,411,78,93,72,85,83,404,93,80,69,71,91,461,97,97,93,93,81,410,88,77,87,76,82,361,64,38,92,83,84,88,92,26,34,32,42,13,5,7,11,6,2181,470,4,5,High,Low,4,Unique,Yes,97,89,80,92,36,76,France,"Speedster, Dribbler, Acrobat, Clinical finisher, Complete forward",Ligue 1,LS,7,2024,LW,10,https://cdn.sofifa.net/players/231/747/23_120.png,https://sofifa.com/player/231747/kylian-mbappe/230054/
FIFA 23,K. De Bruyne,"CM, CAM",31,91,91,Manchester City,2015 ~ 2025,"181cm / 5'11""",75kg / 165lbs,Right,91,CM,30-Aug-15,€107.5M,€350K,€198.9M,410,94,85,55,93,83,441,86,89,83,93,90,393,75,73,76,91,78,409,92,63,89,74,91,405,75,65,88,94,83,88,185,66,66,53,56,15,13,5,10,13,2299,481,5,4,High,Medium,4,Unique,Yes,74,88,93,86,63,77,Belgium,"Dribbler, Playmaker, Distance shooter, Crosser, Complete midfielder",Premier League,RCM,17,2025,RF,7,https://cdn.sofifa.net/players/192/985/23_120.png,https://sofifa.com/player/192985/kevin-de-bruyne/230054/
FIFA 23,R. Lewandowski,ST,33,91,91,FC Barcelona,2022 ~ 2025,"185cm / 6'1""",81kg / 179lbs,Right,91,ST,18-Jul-22,€84M,€420K,€172.2M,429,71,94,91,84,89,408,85,79,85,70,89,403,76,75,77,93,82,423,91,85,76,87,84,395,81,49,94,81,90,88,96,35,42,19,51,15,6,12,8,10,2205,458,4,4,High,Medium,5,Unique,Yes,75,91,79,86,44,83,Poland,"Aerial threat, Distance shooter, Clinical finisher, Complete forward",La Liga,ST,9,2025,ST,9,https://cdn.sofifa.net/players/188/545/23_120.png,https://sofifa.com/player/188545/robert-lewandowski/230054/
FIFA 23,K. Benzema,"CF, ST",34,91,91,Real Madrid,2009 ~ 2023,"185cm / 6'1""",81kg / 179lbs,Right,91,CF,9-Jul-09,€64M,€450K,€131.2M,433,75,91,90,89,88,409,87,82,73,76,91,398,78,79,77,92,72,411,87,79,82,82,81,366,63,39,92,90,82,90,85,43,24,18,41,13,11,5,5,7,2143,454,4,4,Medium,Medium,4,Normal (170-185),Yes,79,88,83,87,39,78,France,"Poacher, Clinical finisher",La Liga,CF,9,2023,Unknown,Unknown,https://cdn.sofifa.net/players/165/153/23_120.png,https://sofifa.com/player/165153/karim-benzema/230054/
FIFA 23,L. Messi,RW,35,91,91,Paris Saint-Germain,2021 ~ 2023,"169cm / 5'7""",67kg / 148lbs,Left,92,CAM,10-Aug-21,€54M,€195K,€99.9M,423,84,90,70,91,88,464,95,93,93,90,93,441,87,76,91,92,95,383,86,68,70,68,91,346,44,40,93,94,75,96,79,20,35,24,54,6,11,15,14,8,2190,452,4,4,Low,Low,5,Unique,Yes,81,89,90,94,34,64,Argentina,"Dribbler, Distance shooter, FK Specialist, Acrobat, Clinical finisher, Complete forward",Ligue 1,RS,30,2023,RW,10,https://cdn.sofifa.net/players/158/023/23_120.png,https://sofifa.com/player/158023/lionel-messi/230054/
FIFA 23,E. Haaland,ST,21,90,94,Manchester City,2022 ~ 2027,"195cm / 6'5""",94kg / 207lbs,Left,92,ST,1-Jul-22,€176.5M,€240K,€339.8M,386,47,95,80,75,89,352,78,77,62,53,82,419,82,94,76,93,74,430,94,78,79,93,86,382,87,42,95,74,84,87,123,41,53,29,52,7,14,13,11,7,2144,462,3,3,High,Medium,4,Unique,Yes,89,92,65,80,48,88,Norway,"Aerial threat, Distance shooter, Strength, Clinical finisher, Complete forward",Premier League,ST,9,2027,ST,9,https://cdn.sofifa.net/players/239/085/23_120.png,https://sofifa.com/player/239085/erling-haaland/230054/
FIFA 23,T. Courtois,GK,30,90,90,Real Madrid,2018 ~ 2026,"199cm / 6'6""",96kg / 212lbs,Left,90,GK,9-Aug-18,€79.5M,€250K,€163M,86,14,14,13,33,12,110,13,19,20,35,23,286,42,52,63,84,45,249,56,68,38,70,17,122,23,15,13,44,27,66,54,20,18,16,429,85,89,75,90,90,1336,475,3,1,Medium,Medium,5,Unique,Yes,85,89,75,90,46,90,Belgium,Unknown,La Liga,GK,1,2026,GK,1,https://cdn.sofifa.net/players/192/119/23_120.png,https://sofifa.com/player/192119/thibaut-courtois/230054/
FIFA 23,Alisson,GK,29,89,90,Liverpool,2018 ~ 2027,"193cm / 6'4""",91kg / 201lbs,Right,89,GK,19-Jul-18,€79M,€190K,€152.1M,139,17,13,29,60,20,162,27,19,18,58,40,271,58,49,40,87,37,240,64,52,32,78,14,140,27,11,13,66,23,66,50,15,19,16,435,86,85,85,90,89,1437,489,3,1,Medium,Medium,3,Unique,Yes,86,85,85,89,54,90,Brazil,Unknown,Premier League,GK,1,2027,Unknown,Unknown,https://cdn.sofifa.net/players/212/831/23_120.png,https://sofifa.com/player/212831/alisson-ramses-becker/230054/
FIFA 23,J. Kimmich,"CDM, RB, CM",27,89,90,FC Bayern München,2015 ~ 2025,"177cm / 5'10""",75kg / 165lbs,Right,89,CDM,1-Jul-15,€105.5M,€130K,€182M,387,91,68,72,87,69,415,82,85,73,90,85,393,77,60,84,88,84,402,78,79,94,68,83,389,89,85,80,85,50,85,246,83,85,78,60,8,15,7,15,15,2292,473,4,3,High,Medium,4,Normal (170-185),Yes,68,73,87,84,82,79,Germany,Crosser,Bundesliga,RDM,6,2025,RDM,6,https://cdn.sofifa.net/players/212/622/23_120.png,https://sofifa.com/player/212622/joshua-kimmich/230054/
FIFA 23,M. Salah,RW,30,89,89,Liverpool,2017 ~ 2025,"175cm / 5'9""",71kg / 157lbs,Left,89,RW,1-Jul-17,€99.5M,€260K,€184.1M,398,80,92,59,84,83,404,88,84,69,77,86,450,89,89,89,92,91,398,82,69,87,76,84,374,63,55,91,84,81,90,122,38,43,41,62,14,14,9,11,14,2208,466,3,4,High,Medium,4,Unique,Yes,89,87,81,88,45,76,Egypt,"Dribbler, Acrobat, Clinical finisher, Complete forward",Premier League,RW,11,2025,Unknown,Unknown,https://cdn.sofifa.net/players/209/331/23_120.png,https://sofifa.com/player/209331/mohamed-salah/230054/
FIFA 23,H. Kane,ST,28,89,89,Tottenham Hotspur,2010 ~ 2024,"188cm / 6'2""",89kg / 196lbs,Right,89,ST,28-Jul-10,€105.5M,€240K,€200.5M,431,80,93,87,84,87,402,83,82,65,86,86,368,67,70,66,92,73,423,92,79,83,83,86,395,80,42,94,87,92,92,120,46,36,38,54,8,10,11,14,11,2193,454,5,3,High,High,4,Unique,Yes,69,91,83,83,46,82,England,"Distance shooter, Clinical finisher",Premier League,ST,10,2024,ST,9,https://cdn.sofifa.net/players/202/126/23_120.png,https://sofifa.com/player/202126/harry-kane/230054/
FIFA 23,J. Oblak,GK,29,89,90,Atlético Madrid,2014 ~ 2028,"188cm / 6'2""",87kg / 192lbs,Right,89,GK,16-Jul-14,€79M,€100K,€167.9M,95,13,11,15,43,13,109,12,13,14,40,30,293,42,53,64,86,48,268,59,77,42,78,12,149,36,24,11,67,11,68,59,27,14,18,431,86,90,79,87,89,1404,477,3,1,Medium,Medium,4,Unique,Yes,86,90,79,89,46,87,Slovenia,Unknown,La Liga,GK,13,2028,Unknown,Unknown,https://cdn.sofifa.net/players/200/389/23_120.png,https://sofifa.com/player/200389/jan-oblak/230054/
FIFA 23,Casemiro,CDM,30,89,89,Manchester United,2022 ~ 2026,"185cm / 6'1""",84kg / 185lbs,Right,89,CDM,19-Aug-22,€86M,€240K,€163.4M,363,68,64,82,84,65,381,69,75,74,84,79,341,60,66,61,88,66,432,88,85,88,90,81,400,91,89,75,79,66,85,267,90,89,88,67,13,14,16,12,12,2251,466,3,2,Medium,High,3,Unique,Yes,63,73,79,73,89,89,Brazil,"Tackling, Tactician, Strength, Complete defender",Premier League,RDM,18,2026,Unknown,Unknown,https://cdn.sofifa.net/players/200/145/23_120.png,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/230054/
FIFA 23,Neymar Jr,LW,30,89,89,Paris Saint-Germain,2017 ~ 2025,"175cm / 5'9""",68kg / 150lbs,Right,89,LW,3-Aug-17,€99.5M,€200K,€184.1M,400,83,83,63,85,86,445,95,88,87,81,94,437,88,86,93,88,82,352,79,62,78,52,81,367,63,37,86,90,91,93,96,35,32,29,59,9,9,15,15,11,2156,446,5,5,High,Medium,5,Unique,Yes,87,83,85,93,37,61,Brazil,"Dribbler, FK Specialist, Acrobat",Ligue 1,RES,10,2025,Unknown,Unknown,https://cdn.sofifa.net/players/190/871/23_120.png,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/230054/
FIFA 23,M. Neuer,GK,36,89,89,FC Bayern München,2011 ~ 2024,"193cm / 6'4""",93kg / 205lbs,Right,89,GK,1-Jul-11,€11.5M,€69K,€19M,124,15,13,25,60,11,169,30,14,11,68,46,269,48,50,51,85,35,284,68,77,43,80,16,188,29,30,12,70,47,70,38,17,10,11,440,87,88,90,88,87,1512,489,4,1,Medium,Medium,5,Unique,Yes,87,88,90,87,49,88,Germany,Unknown,Bundesliga,RES,1,2024,Unknown,Unknown,https://cdn.sofifa.net/players/167/495/23_120.png,https://sofifa.com/player/167495/manuel-neuer/230054/
